,school,test_optional,applies_to_class_year,policy_details,number_of_applicants,accept_rate,sat_total_middle50_percentile,act_total_middle50_percentile,city,state,zip,sat_total_25th_percentile,sat_total_75th_percentile,act_total_25th_percentile,act_total_75th_percentile,accept_rate_float,sat_school_avg,act_school_avg,should_scores_be_submitted
219,Appalachian State University,Yes,2021,Appalachian State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,16664,76.8%,1100-1270,22-28,Boone,NC,28608,1100.0,1270.0,22.0,28.0,0.768,1185.0,25.0,False
220,High Point University,Yes,All / Permanent Policy,High Point University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However students seeking some merit scholarship or those who wish to be placed in the Honors Program need to submit test scores.,10098,76.9%,1090-1250,22-27,High Point,NC,27268,1090.0,1250.0,22.0,27.0,0.769,1170.0,24.5,False
221,Virginia Commonwealth University,Yes*,All / Permanent Policy,Virginia Commonwealth University requires either the SAT or ACT. However they will waive the requirement for students with a 3.3+ GPA. Applicants who wish to qualify for merit scholarships homeschooled applicants applicants to the VCU Honors College College of Engineering or School of Education and non-native English speakers are not eligible for TO. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,18622,77.1%,1070-1260,21-28,Richmond,VA,23284-2512,1070.0,1260.0,21.0,28.0,0.7709999999999999,1165.0,24.5,False
222,John Brown University,Yes,2021,John Brown University has adopted a one-year test optional policy for students entering in Fall 2021.,1094,77.1%,1060-1365,23-30,Siloam Springs,AR,72761,1060.0,1365.0,23.0,30.0,0.7709999999999999,1212.5,26.5,False
223,University of Idaho,Yes,2021,University of Idaho has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,8071,77.8%,1010-1240,20-27,Moscow,ID,83844-2282,1010.0,1240.0,20.0,27.0,0.778,1125.0,23.5,False
224,Willamette University,Yes,All / Permanent Policy,Willamette University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3972,77.9%,1140-1340,31-35,Salem,OR,97301,1140.0,1340.0,31.0,35.0,0.779,1240.0,33.0,False
225,Carroll College,Yes*,All / Permanent Policy,Carroll College requires either the SAT or ACT however it will waive this requirement for students with a 3.0+ unweighted GPA. Students who are homeschooled wish to apply to Direct Entry Nursing or wish to participate in intercollegiate atheletics are not elligible for test optional admission. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,2709,78.3%,1070-1270,22-28,Helena,MT,59625-0002,1070.0,1270.0,22.0,28.0,0.7829999999999999,1170.0,25.0,False
226,College of Charleston,Yes,2021,The College of Charleston has adopted a one-year test optional policy for applicants in the 2020-21 admissions cycle. However home-schooled students are required to submit scores.,11783,78.3%,1080-1260,22-28,Charleston,SC,29424-0001,1080.0,1260.0,22.0,28.0,0.7829999999999999,1170.0,25.0,False
227,Elon University,Yes,2021 2022 2023,Elon has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Elon will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,10500,78.4%,1160-1320,25-30,Elon,NC,27244-2010,1160.0,1320.0,25.0,30.0,0.784,1240.0,27.5,False
228,Seattle University,Yes,All / Permanent Policy,Seattle University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled applicants are not elligible for test optional admission.,7968,78.5%,1160-1330,24-30,Seattle,WA,98122-4340,1160.0,1330.0,24.0,30.0,0.785,1245.0,27.0,False
229,Pacific Lutheran University,Yes,All / Permanent Policy,Pacific Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from schools with written evaluations rather than grades and homeschooled students are not eligible for test optional admission. Applicants to the nursing program students interested in teaching and international applicants strongly encouraged to submit scores.,3740,79.8%,1070-1270,20-28,Tacoma,WA,98447-0003,1070.0,1270.0,20.0,28.0,0.7979999999999999,1170.0,24.0,False
230,Loyola University Maryland,Yes,All / Permanent Policy,Loyola University Maryland offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,10077,80.2%,1143-1320,25-30,Baltimore,MD,21210-2699,1143.0,1320.0,25.0,30.0,0.802,1231.5,27.5,False
231,Goucher College,Yes,All / Permanent Policy,Goucher College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3154,80.4%,1040-1290,22-29,Baltimore,MD,21204-2794,1040.0,1290.0,22.0,29.0,0.804,1165.0,25.5,False
232,Auburn University,Yes,2021,Auburn University has adopted a one-year test optional policy however students who choose not to submit ACT/SAT scores must submit a graded writing assignment an expanded resume or an AP/IB score report.,20205,80.7%,1150-1320,25-31,Auburn,AL,36849,1150.0,1320.0,25.0,31.0,0.807,1235.0,28.0,False
233,Siena College,Yes,All / Permanent Policy,Siena College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants must meet certain academic requirements to apply test optional. Additionally applicants to select programs are not eligible for test optional admission.,7728,81.1%,1070-1280,22-28,Loudonville,NY,12211-1462,1070.0,1280.0,22.0,28.0,0.8109999999999999,1175.0,25.0,False
234,University of North Dakota,Yes,2021,University of North Dakota has adopted a one-year test optional policy for first-year applicants both domestic and international entering through Fall 2022.,4964,81.1%,1010-1250,20-26,Grand Forks,ND,58202-8193,1010.0,1250.0,20.0,26.0,0.8109999999999999,1130.0,23.0,False
235,Texas State University,Yes,2021,"Texas State University has adopted a one-year ""holistic review"" policy for applicants whose test dates have been affected by COVID-19 cancellations.",23583,81.1%,1010-1180,19.3-25.3,San Marcos,TX,78666,1010.0,1180.0,19.3,25.3,0.8109999999999999,1095.0,22.3,False
236,University of Memphis,Yes,2021,UM has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,15381,81.4%,1010-1230,19-26,Memphis,TN,38152,1010.0,1230.0,19.0,26.0,0.8140000000000001,1120.0,22.5,False
237,West Virginia University,Yes,2021,WVU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18639,81.6%,1050-1240,21-27,Morgantown,WV,26506,1050.0,1240.0,21.0,27.0,0.816,1145.0,24.0,False
238,University of Oregon,Yes,All / Permanent Policy,The University of Oregon offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants from nonaccredited schools and homeschooled students are not eligible for test optional admission and must submit two Subject Tests: Math I or II and a second one.,27358,81.6%,1100-1310,22-28,Eugene,OR,97403,1100.0,1310.0,22.0,28.0,0.816,1205.0,25.0,False
239,University of Iowa,Yes,2021,University of Iowa has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,25928,82.6%,1130-1340,22-29,Iowa City,IA,52242-1316,1130.0,1340.0,22.0,29.0,0.826,1235.0,25.5,False
240,University of Alaska Anchorage,Yes,All / Permanent Policy,University of Alaska Anchorage offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,3673,83.0%,1020-1220,17-24,Anchorage,AK,99508,1020.0,1220.0,17.0,24.0,0.83,1120.0,20.5,False
241,Marquette University,Yes,All / Permanent Policy,Marquette University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores to both domestic and international applicants.,15078,83.0%,1120-1320,24-29,Milwaukee,WI,53233,1120.0,1320.0,24.0,29.0,0.83,1220.0,26.5,False
242,Oregon State University,Yes,All / Permanent Policy,Oregon State University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,15786,83.6%,1080-1320,21-28,Corvallis,OR,97331,1080.0,1320.0,21.0,28.0,0.836,1200.0,24.5,False
