INSTNM,CITY,STABBR,ZIP
GoodFellas Barber College,Little Rock,AR,72204
The Salon Professional Academy-Delray Beach,Delray Beach,FL,33484-0000
Lynnes Welding Training-Bismarck,Bismarck,ND,58504-7593
Toni & Guy Hairdressing Academy-Idaho,Coeur D'Alene,ID,83815
No Grease Barber School,Charlotte,NC,28208
Pima Medical Institute-San Marcos,San Marcos,CA,92078-8702
EDP University of Puerto Rico-Villalba,Villalba,PR,00766-2353
National American University-Killeen,Killeen,TX,76542-1321
Wade Gordon Hairdressing Academy,Amarillo,TX,79109
Chicago School of Professional Psychology at Dallas,Richardson,TX,75080-2208
American Massage & Bodywork Institute,Vienna,VA,22182-2245
KCK Beauty & Barber Academy,Jacksonville,FL,32218-5578
California College of Barbering and Cosmetology,Stockton,CA,95210
Texas Tech University Health Sciences Center-El Paso,El Paso,TX,79905-2827
Ponce Health Sciences University-Centro Universitario de San Juan,Santurce,PR,00914-8505
The College of Health Care Professions-South San Antonio,San Antonio,TX,78221-1474
Innovate Salon Academy,Ewing,NJ,08628-0000
Chamberlain University-Louisiana,Jefferson,LA,70121
Drury University-College of Continuing Professional Studies,Springfield,MO,65802
Global Medical & Technical Training Institute,Miami,FL,33125-3562
Salon Success Academy-West Covina,West Covina,CA,91790-2876
Indiana Institute of Technology-College of Professional Studies,Fort Wayne,IN,46803
Advantage Technical College,San Juan,PR,00907-0000
Institute of Culinary Education,Pasadena,CA,91101-5221
Universal Technical Institute-Bloomfield,Bloomfield,NJ,07003-3002
Gould's Academy,Bartlett,TN,38133-4067
Urban Academy of Beauty,Rio Rancho,NM,87124-2575
Career Quest Learning Center-Bay City Branch,Bay City,MI,48706-1234
WellSpring School of Allied Health-Springfield,Springfield,MO,65807
Medical Career College of Northern California,Roseville,CA,95678-5133
Premiere International College,Fort Myers,FL,33901-3916
Kenny's Beauty Academy,Arlington,VA,22201-4531
American Fitness and Nutrition Academy,Pasadena,CA,91101-3530
San Diego Global Knowledge University,San Diego,CA,92101
Global Tech College,Toledo,OH,43615-7320
Crown Cutz Academy Bristol,Bristol,VA,24201-3323
MCI,McAllen,TX,78501-2702
Central Pennsylvania Diesel Institute,Liverpool,PA,17045-9201
Bellasa Professional Institute,North Miami,FL,33161-0000
PMCA Pittsburgh Multicultural Cosmetology Academy,Pittsburgh,PA,15222-2245
Health and Technology Training Institute,Philadelphia,PA,19102-1024
Yeshiva of Ocean,Greenfield Park,NY,12435-5308
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,Brooklyn,NY,11219-5440
Young Americans College of the Performing Arts,Corona,CA,92881-3390
Pro Beauty Academy,Edison,NJ,08820-2843
South Eastern Beauty Academy,Paintsville,KY,41240-1034
Ohel Margulia Seminary,Monsey,NY,10952-2610
Montana Barber Institute,El Paso,TX,79938-4655
Yeshivat Hechal Shemuel,Brooklyn,NY,11230-0000
Professional University Dr. Carlos J. Borrero Rios,Hato Rey,PR,00918-0000
American Institute of Healthcare & Technology,Stratford,CT,06615-7149
Premier Academy of Cosmetology,McAlester,OK,74501-4143
Yeshiva Gedolah of Woodlake Village,Lakewood,NJ,08701-0000
Yeshiva Gedola Tiferes Yaakov Yitzchok,Lakewood,NJ,08701-5502
University of Arkansas System eVersity,Little Rock,AR,72207-3608
Careers Institute of America,Dallas,TX,75244-4310
Houston Barber School,Houston,TX,77073-4400
Health-Tech Institute of Memphis,Memphis,TN,38118
MIXED Institute of Cosmetology & Barber,Sacramento,CA,95823-2370
Vski Cosmetology School,Charleston,SC,29407-4610
Shear Perfection Academy of Cosmetology,Nashville,TN,37211-3020
New York Seminary,Brooklyn,NY,11218-5611
Deluxe Barber College,San Antonio,TX,78217-2118
Falcon Institute of Health and Science,Bethlehem,PA,18017-2113
College Unbound,Providence,RI,02905-2340
Midwest Barber College,Topeka,KS,66611-2358
SANS Technology Institute,North Bethesda,MD,20852
Southern Careers Institute-Waco,Waco,TX,76706-3756
Elevate Salon Institute,Durham,NC,27701-0000
Ponce Health Sciences University-St Louis,St. Louis,MO,63103
Lil Lou's Beauty and Barber College-Hammond,Hammond,IN,46320-1954
Arizona College of Nursing-Dallas,Dallas,TX,75243-1200
Arizona College of Nursing-Tempe,Tempe,AZ,85282-1840
The Salon Professional Academy-Washington DC,Washington,DC,20002-0000
Valley College-Cleveland,Cleveland,OH,44129-6810
National American University-Kings Bay,Kings Bay,GA,31547-2532
EDP University of Puerto Rico-Humacao,Humacao,PR,00791-0000
EDP University of Puerto Rico-Manati,Manati,PR,00674-0000
UEI College-Sacramento,Sacramento,CA,95823-2512
Fortis Institute-Cookeville,Cookeville,TN,38501-4305
Paul Mitchell the School-San Jose,San Jose,CA,95113-2007
Derech Hachaim Seminary,Monroe,NY,10950-6300
Avenue Five Institute-South Austin Campus,Austin,TX,78704-3259
Glasgow Caledonian New York College,New York,NY,10012
Pima Medical Institute-San Antonio,San Antonio,TX,78213
Lotus Professional College,Richmond,VA,23229
Christ Mission College,San Antonio,TX,78254-1000
Esteem Academy of Beauty,South Ogden,UT,84403-4374
KC Beauty Academy,Los Angeles,CA,90012-4303
Urshan College,Wentzville,MO,63385
Texas Healthtech Institute,Beaumont,TX,77707-2604
Xtylo Beauty College,Phoenix,AZ,85008-1303
Tonsorial Arts Barber College,Texarkana,TX,75501-3264
Michael's Barber & Hair Stylist Academy,Irving,TX,75062-6016
Yeshiva Yesoda Hatorah Vetz Chaim,Brooklyn,NY,11211-7106
North-West College-San Diego,San Diego,CA,92115-1506
West Virginia Junior College-United Career Institute,Irwin,PA,15642-2704
Aviation Institute of Maintenance-Charlotte,Charlotte,NC,28227-9403
Ponce Health Sciences University-East,Ponce,PR,00731-0000
Educational Technical College,Lares,PR,00669-0000
Fortis College-Landover,Landover,MD,20785-2223
Stautzenberger College-Rockford Career College,Rockford,IL,61108-3900
WellSpring School of Allied Health-Wichita,Wichita,KS,67209
Access Careers-Islandia,Islandia,NY,11749-1599
Troy University-Phenix City Campus,Phenix City,AL,36869-4419
Troy University-Montgomery Campus,Montgomery,AL,36103-4419
Troy University-Dothan Campus,Dothan,AL,36303-4419
Troy University-Online,Troy,AL,36082-5327
Troy University-Support Sites,Alpharetta,GA,30009
Arkansas College of Barbering and Hair Design,Little Rock,AR,72205-4949
Harding School of Theology,Memphis,TN,38117-5499
Career Academy of Hair Design-Siloam Springs,Siloam Springs,AR,72761-4217
Career Academy of Hair Design-Rogers,Rogers,AR,72756-2102
Career Academy of Hair Design-Fayetteville,Fayetteville,AR,72701-4217
